Country/Region,SNo,ObservationDate,Province/State,Last Update,Confirmed,Deaths,Recovered
Congo (Kinshasa),4904,03/11/2020,,2020-03-11T21:13:24,1.0,0.0,0.0
Honduras,4891,03/11/2020,,2020-03-11T18:52:03,2.0,0.0,0.0
Jamaica,4908,03/11/2020,,2020-03-11T18:52:03,1.0,0.0,0.0
Bolivia,4886,03/11/2020,,2020-03-11T18:52:03,2.0,0.0,0.0
Turkey,4916,03/11/2020,,2020-03-11T03:33:05,1.0,0.0,0.0
Reunion,4914,03/11/2020,,2020-03-11T23:13:07,1.0,0.0,0.0
Guyana,5128,03/12/2020,,2020-03-12T05:53:03,1.0,1.0,0.0
Cuba,5101,03/12/2020,,2020-03-12T05:53:03,3.0,0.0,0.0
Guadeloupe,5260,03/13/2020,,2020-03-11T20:00:00,1.0,0.0,0.0
Aruba,5280,03/13/2020,,2020-03-11T20:00:00,2.0,0.0,0.0
Sudan,5271,03/13/2020,,2020-03-11T20:00:00,1.0,1.0,0.0
Cayman Islands,5255,03/13/2020,,2020-03-11T20:00:00,1.0,0.0,0.0
Guinea,5274,03/13/2020,,2020-03-11T20:00:00,1.0,0.0,0.0
Kazakhstan,5250,03/13/2020,,2020-03-11T20:00:00,4.0,0.0,0.0
Kenya,5285,03/13/2020,,2020-03-11T20:00:00,1.0,0.0,0.0
Antigua and Barbuda,5275,03/13/2020,,2020-03-11T20:00:00,1.0,0.0,0.0
Ethiopia,5270,03/13/2020,,2020-03-11T20:00:00,1.0,0.0,0.0
Eswatini,5606,03/14/2020,,2020-03-14T13:13:25,1.0,0.0,0.0
Curacao,5605,03/14/2020,,2020-03-14T16:15:18,1.0,0.0,0.0
Venezuela,5595,03/14/2020,,2020-03-14T12:53:07,2.0,0.0,0.0
Jersey,5586,03/14/2020,,2020-03-14T16:33:03,2.0,0.0,0.0
Guatemala,5611,03/14/2020,,2020-03-14T01:33:03,1.0,0.0,0.0
Rwanda,5621,03/14/2020,,2020-03-14T12:53:07,1.0,0.0,0.0
Namibia,5588,03/14/2020,,2020-03-14T16:33:03,2.0,0.0,0.0
Guernsey,5612,03/14/2020,,2020-03-13T22:22:03,1.0,0.0,0.0
Uruguay,5572,03/14/2020,,2020-03-14T16:33:03,4.0,0.0,0.0
Saint Lucia,5622,03/14/2020,,2020-03-14T16:15:18,1.0,0.0,0.0
Suriname,5625,03/14/2020,,2020-03-14T16:33:03,1.0,0.0,0.0
Ghana,5575,03/14/2020,,2020-03-14T23:13:05,3.0,0.0,0.0
Saint Vincent and the Grenadines,5623,03/14/2020,,2020-03-14T16:33:03,1.0,0.0,0.0
Mauritania,5618,03/14/2020,,2020-03-14T12:53:07,1.0,0.0,0.0
Trinidad and Tobago,5591,03/14/2020,,2020-03-14T16:15:01,2.0,0.0,0.0
Seychelles,5590,03/14/2020,,2020-03-14T23:13:06,2.0,0.0,0.0
Gabon,5609,03/14/2020,,2020-03-14T13:33:04,1.0,0.0,0.0
Uzbekistan,5887,03/15/2020,,2020-03-15T18:20:19,1.0,0.0,0.0
Equatorial Guinea,5862,03/15/2020,,2020-03-15T06:41:54,1.0,0.0,0.0
Central African Republic,5857,03/15/2020,,2020-03-15T18:20:19,1.0,0.0,0.0
Kosovo,5843,03/15/2020,,2020-03-15T18:20:19,2.0,0.0,0.0
Congo (Brazzaville),5859,03/15/2020,,2020-03-15T18:20:19,1.0,0.0,0.0
Liberia,6141,03/16/2020,,2020-03-16T14:38:46,1.0,0.0,0.0
Somalia,6149,03/16/2020,,2020-03-16T14:38:46,1.0,0.0,0.0
Tanzania,6152,03/16/2020,,2020-03-16T14:38:45,1.0,0.0,0.0
The Bahamas,6153,03/16/2020,,2020-03-16T03:33:03,1.0,0.0,0.0
Mayotte,6143,03/16/2020,,2020-03-16T14:38:45,1.0,0.0,0.0
Guam,6105,03/16/2020,,2020-03-16T02:13:16,3.0,0.0,0.0
Greenland,6137,03/16/2020,,2020-03-16T16:53:06,1.0,0.0,0.0
Benin,6125,03/16/2020,,2020-03-16T14:38:46,1.0,0.0,0.0
Republic of the Congo,6147,03/16/2020,,2020-03-16T03:33:03,1.0,0.0,0.0
Puerto Rico,6107,03/16/2020,,2020-03-16T14:38:45,3.0,0.0,0.0
The Gambia,6429,03/17/2020,,2020-03-17T23:33:02,1.0,0.0,0.0
Barbados,6397,03/17/2020,,2020-03-17T16:13:14,2.0,0.0,0.0
Montenegro,6400,03/17/2020,,2020-03-17T21:33:02,2.0,0.0,0.0
Djibouti,6693,03/18/2020,,2020-03-18T12:33:03,1.0,0.0,0.0
Mauritius,6671,03/18/2020,,2020-03-18T19:53:03,3.0,0.0,0.0
"Gambia, The",6696,03/18/2020,,2020-03-18T14:13:56,1.0,0.0,0.0
Zambia,6685,03/18/2020,,2020-03-18T14:33:15,2.0,0.0,0.0
Kyrgyzstan,6670,03/18/2020,,2020-03-18T11:53:04,3.0,0.0,0.0
El Salvador,6987,03/19/2020,,2020-03-19T14:53:06,1.0,0.0,0.0
Nicaragua,6995,03/19/2020,,2020-03-19T08:33:08,1.0,0.0,0.0
Fiji,6989,03/19/2020,,2020-03-19T14:53:06,1.0,0.0,0.0
Chad,6984,03/19/2020,,2020-03-19T16:43:03,1.0,0.0,0.0
"Bahamas, The",6954,03/19/2020,,2020-03-19T11:33:39,3.0,0.0,0.0
Haiti,7270,03/20/2020,,2020-03-20T10:13:39,2.0,0.0,0.0
Zimbabwe,7300,03/20/2020,,2020-03-20T22:13:55,1.0,0.0,0.0
Angola,7278,03/20/2020,,2020-03-20T10:13:38,1.0,0.0,0.0
Papua New Guinea,7294,03/20/2020,,2020-03-20T18:13:12,1.0,0.0,0.0
Cabo Verde,7280,03/20/2020,,2020-03-20T10:13:39,1.0,0.0,0.0
Niger,7293,03/20/2020,,2020-03-20T02:13:52,1.0,0.0,0.0
Madagascar,7260,03/20/2020,,2020-03-20T22:13:53,3.0,0.0,0.0
Eritrea,7590,03/21/2020,,2020-03-21T21:13:30,1.0,0.0,0.0
East Timor,7589,03/21/2020,,2020-03-21T14:43:04,1.0,0.0,0.0
Uganda,7602,03/21/2020,,2020-03-21T23:43:02,1.0,0.0,0.0
Cape Verde,7585,03/21/2020,,2020-03-21T23:43:02,1.0,0.0,0.0
Gambia,7672,03/22/2020,,3/8/20 5:31,1.0,0.0,0.0
Dominica,7658,03/22/2020,,3/8/20 5:31,1.0,0.0,0.0
Grenada,7677,03/22/2020,,3/8/20 5:31,1.0,0.0,0.0
Timor-Leste,7765,03/22/2020,,3/8/20 5:31,1.0,0.0,0.0
Bahamas,7628,03/22/2020,,3/8/20 5:31,4.0,0.0,0.0
Mozambique,7719,03/22/2020,,3/8/20 5:31,1.0,0.0,0.0
Syria,7761,03/22/2020,,3/8/20 5:31,1.0,0.0,0.0
Belize,7932,03/23/2020,,2020-03-23 23:23:20,1.0,0.0,0.0
Laos,8295,03/24/2020,,2020-03-24 23:41:50,2.0,0.0,0.0
Libya,8299,03/24/2020,,2020-03-24 23:41:50,1.0,0.0,0.0
Guinea-Bissau,8574,03/25/2020,,2020-03-25 23:37:49,2.0,0.0,0.0
Mali,8607,03/25/2020,,2020-03-25 23:37:49,2.0,0.0,0.0
Saint Kitts and Nevis,8640,03/25/2020,,2020-03-25 23:37:49,2.0,0.0,0.0
Diamond Princess,8550,03/25/2020,,2020-03-25 23:37:49,712.0,10.0,587.0
West Bank and Gaza,8980,03/26/2020,,2020-03-26 23:53:24,84.0,1.0,17.0
Burma,9143,03/27/2020,,2020-03-27 23:27:48,8.0,0.0,0.0
MS Zaandam,9521,03/28/2020,,3/8/20 5:31,2.0,0.0,0.0
Botswana,10068,03/30/2020,,3/8/20 5:31,3.0,0.0,0.0
Burundi,10386,03/31/2020,,2020-03-31 23:49:27,2.0,0.0,0.0
Sierra Leone,10502,03/31/2020,,2020-03-31 23:49:27,1.0,0.0,0.0
Malawi,11085,04/02/2020,,4/2/20 8:53,3.0,0.0,0.0
South Sudan,12082,04/05/2020,,2020-04-05 23:13:44,1.0,0.0,0.0
Western Sahara,12107,04/05/2020,,2020-04-05 23:13:44,4.0,0.0,0.0
Sao Tome and Principe,12390,04/06/2020,,4/6/20 9:37,4.0,0.0,0.0
Yemen,13708,04/10/2020,,2020-04-10 23:01:43,1.0,0.0,0.0
